brand,model,repair_type,price
Apple,iPhone 5 Serie    199kr,iPhone Kamera - Front Kamera Bak kamera Ramme,299kr
Apple,iPhone 5 Serie    199kr,iPhone Kamera - Lense/Kamera Glas,699kr
Apple,iPhone 6 Serie    399kr,iPhone Kamera - Front Kamera Bak kamera Ramme,499kr
Apple,iPhone 6 Serie    399kr,iPhone Kamera - Lense/Kamera Glas,799kr
Apple,iPhone 7 Serie    399kr,iPhone Kamera - Front Kamera Bak kamera Ramme,799kr
Apple,iPhone 7 Serie    399kr,iPhone Kamera - Lense/Kamera Glas,899kr
Apple,iPhone 999kr,iPhone Kamera - Front Kamera Bak kamera Ramme,899kr
Apple,"iPhone iPad 5 A1822, A1823",iPhone Kamera - Front Kamera Bak kamera Ramme,1599kr
Apple,"iPhone iPad 5 A1822, A1823",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad 6 A1893, A1954",iPhone Kamera - Front Kamera Bak kamera Ramme,1699kr
Apple,"iPhone iPad 6 A1893, A1954",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad 7 A2197, A2200",iPhone Kamera - Front Kamera Bak kamera Ramme,1799kr
Apple,"iPhone iPad 7 A2197, A2200",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad 8 A2270, A2428",iPhone Kamera - Front Kamera Bak kamera Ramme,1799kr
Apple,"iPhone iPad 8 A2270, A2428",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad 9 A2602, A2603, A2604, A2605",iPhone Kamera - Front Kamera Bak kamera Ramme,1899kr
Apple,"iPhone iPad 9 A2602, A2603, A2604, A2605",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad Pro A1701, A1673",iPhone Kamera - Front Kamera Bak kamera Ramme,2899kr
Apple,"iPhone iPad Pro A1701, A1673",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad Pro 11” A1980, A2013, A1934",iPhone Kamera - Front Kamera Bak kamera Ramme,3399kr
Apple,"iPhone iPad Pro 11” A1980, A2013, A1934",iPhone Kamera - Lense/Kamera Glas,1599kr
Apple,iPhone iPad Pro 12.9” A1584,iPhone Kamera - Front Kamera Bak kamera Ramme,3299kr
Apple,iPhone iPad Pro 12.9” A1584,iPhone Kamera - Lense/Kamera Glas,1299kr
Apple,"iPhone iPad Pro 12.9” A1670, A1671, A1821 5399kr",iPhone Kamera - Front Kamera Bak kamera Ramme,1299kr
Apple,"iPhone iPad Pro 12.9” A1876, A2014, A1983 4199kr",iPhone Kamera - Front Kamera Bak kamera Ramme,1299kr
Apple,"iPhone iPad Air 1 A1474, A1475",iPhone Kamera - Front Kamera Bak kamera Ramme,1599kr
Apple,"iPhone iPad Air 1 A1474, A1475",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad Air 3 A2152, A2123,A2153",iPhone Kamera - Front Kamera Bak kamera Ramme,2999kr
Apple,"iPhone iPad Air 3 A2152, A2123,A2153",iPhone Kamera - Lense/Kamera Glas,1299kr
Apple,"iPhone iPad Mini 3 A1599, A1600",iPhone Kamera - Front Kamera Bak kamera Ramme,1599kr
Apple,"iPhone iPad Mini 3 A1599, A1600",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad mini 4 A1538, A1550",iPhone Kamera - Front Kamera Bak kamera Ramme,1999kr
Apple,"iPhone iPad mini 4 A1538, A1550",iPhone Kamera - Lense/Kamera Glas,999kr
